SAMPLE2,SAMPLE6
YDR428C,YER053C-A
YDR429C,YER054C
YDR430C,YER055C
YDR432W,YER056C
YDR433W,YER056C-A
YDR434W,YER058W
YDR435C,YER060W-A
YDR436W,YER061C
YDR437W,YER062C
YDR438W,YER063W
YDR439W,YER064C
YDR440W,YER067W
YDR441C,YER068W
YDR444W,YER069W
YDR447C,YER070W
YDR448W,YER072W
YDR449C,YER073W
YDR450W,YER074W
YDR451C,YER075C
YDR453C,YER077C
YDR454C,YER078C
YDR455C,YER079W
YDR458C,YER080W
YDR459C,YER081W
YDR460W,YER082C
YDR461C-A,YER083C
YDR461W,YER084W
YDR462W,YER084W-A
YDR463W,YER086W
YDR464W,YER087C-B
YDR465C,YER087W
YDR468C,YER090W
YDR469W,YER091C
YDR470C,YER093C
YDR471W,YER093C-A
YDR472W,YER095W
YDR473C,YER096W
YDR476C,YER098W
YDR477W,YER100W
YDR478W,YER101C
YDR479C,YER103W
YDR480W,YER106W
YDR482C,YER107C
YDR483W,YER110C
YDR485C,YER112W
YDR487C,YER113C
YDR488C,YER115C
YDR489W,YER116C
YDR490C,YER118C
YDR492W,YER121W
YDR493W,YER122C
YDR494W,YER123W
YDR495C,YER124C
YDR496C,YER126C
YDR497C,YER127W
YDR498C,YER131W
YDR500C,YER132C
YDR501W,YER134C
YDR502C,YER137C
YDR503C,YER141W
YDR504C,YER143W
YDR506C,YER144C
YDR507C,YER145C
YDR508C,YER146W
YDR510W,YER147C
YDR511W,YER148W
YDR512C,YER149C
YDR513W,YER150W
YDR514C,YER153C
YDR515W,YER154W
YDR516C,YER155C
YDR517W,YER156C
YDR518W,YER157W
YDR520C,YER158C
YDR523C,YER159C
YDR524C,YER162C
YDR524C-B,YER163C
YDR525W-A,YER165W
YDR527W,YER166W
YDR528W,YER167W
YDR529C,YER168C
YDR531W,YER169W
YDR532C,YER170W
YDR534C,YER173W
YDR539W,YER175W-A
YDR540C,YER180C
YDR541C,YER182W
YEL001C,YER183C
YEL002C,YER184C
YEL003W,YER185W
YEL005C,YER188W
YEL006W,YFL001W
YEL008C-A,YFL003C
YEL009C,YFL004W
YEL009C-A,YFL007W
YEL011W,YFL008W
YEL015W,YFL009W
YEL016C,YFL010C
YEL017C-A,YFL011W
YEL017W,YFL012W
YEL018W,YFL013W-A
YEL019C,YFL014W
YEL020C,YFL017C
YEL020W-A,YFL018C
YEL021W,YFL021C-A
YEL022W,YFL021W
YEL024W,YFL022C
YEL025C,YFL023W
YEL026W,YFL024C
YEL027W,YFL025C
YEL029C,YFL026W
YEL030W,YFL027C
YEL031W,YFL028C
YEL032W,YFL031W
YEL033W,YFL033C
YEL034W,YFL034C-A
YEL036C,YFL034C-B
YEL037C,YFL034W
YEL039C,YFL036W
YEL040W,YFL037W
YEL041W,YFL041W-A
YEL042W,YFL042C
YEL043W,YFL044C
YEL045C,YFL045C
YEL046C,YFL047W
YEL047C,YFL048C
YEL048C,YFL049W
YEL049W,YFL050C
YEL050C,YFL053W
YEL051W,YFL055W
YEL052W,YFL058W
YEL053C,YFL059W
YEL053W-A,YFL060C
YEL054C,YFL062W
YEL055C,YFR001W
YEL056W,YFR007W
