Human_blood,Human_muscle
MAP3K11,ZBTB7C
MAP4K1,ZC3H11A
MATN4,ZC3H4
MAZ,ZDHHC13
MC4R,ZDHHC16
MCAM,ZDHHC5
MCHR1,ZFC3H1
MCM7,ZFP90
MDN1,ZFP91
MDP1,ZFR
MECP2,ZHX3
MED1,ZMIZ1
MED15,ZMYM4
MED16,ZNF143
MED22,ZNF187
MED24,ZNF238
MED26,ZNF24
MED27,ZNF248
MEOX1,ZNF252
MEP1A,ZNF280D
MEP1B,ZNF295
METTL14,ZNF322A
METTL3,ZNF37A
METTL5,ZNF44
MEX3B,ZNF512
MFHAS1,ZNF518A
MGAT5,ZNF540
MGC4294,ZNF552
MIA3,ZNF561
MICA,ZNF594
MICB,ZNF638
MINK1,ZNF641
MIXL1,ZNF654
MKNK2,ZNF691
MKX,ZNF701
MLF2,ZNF765
MLKL,ZNRF3
MLL5,ZRANB2
MLLT1,ZSCAN16
MLPH,ZYX
MLYCD,
MMP2,
MMRN1,
MNDA,
MOBKL2A,
MOBKL2C,
MOCS2,
MORC1,
MORC2,
MPDU1,
MPP7,
MPZ,
MRGPRX3,
MRGPRX4,
MRPL24,
MRPL37,
MRPL43,
MRPS17,
MRPS23,
MRPS25,
MRPS30,
MRPS35,
MRPS6,
MS4A1,
MSH6,
MST1R,
MT1A,
MT1F,
MT2A,
MTCH2,
MTERFD1,
MTERFD3,
MTHFD1L,
MTNR1A,
MTRR,
MTSS1,
MUC1,
MYBL1,
MYBPC3,
MYBPH,
MYEOV,
MYH1,
MYH3,
MYL4,
MYO16,
MYO1G,
MYOF,
MYOM2,
MYPN,
N4BP2,
N6AMT1,
NAA40,
NAF1,
NAGLU,
NANS,
NARFL,
NARS,
NAT2,
NBEAL1,
NBEAL2,
NCAM2,
NCBP2,
NCKAP5,
NCOA2,
NCOR2,
NCR1,
NCS1,
NDN,
NDP,
NDUFAB1,
NDUFB9,
NDUFS3,
NDUFS7,
NDUFS8,
NECAP1,
NECAP2,
NEDD9,
NEIL1,
NEIL3,
NEK7,
NELF,
NET1,
NETO2,
NEU2,
NEU4,
NEUROG1,
NFIC,
NFKBIZ,
NFRKB,
NGF,
NHSL1,
NID1,
NKD1,
NKIRAS1,
NLRC4,
NLRP4,
NLRP5,
NLRP7,
NME6,
NME7,
NNAT,
NOP14,
NOSIP,
NOTCH2,
NOTCH3,
NPB,
NPEPPS,
NPFFR1,
NPHS1,
NPNT,
NPY,
NPY6R,
NR1I2,
NR4A3,
NRIP3,
NRSN1,
NRSN2,
NSA2,
NSUN4,
NSUN5,
NSUN5P2,
NT5DC1,
NTF4,
NTN1,
NTS,
NUAK1,
NUB1,
NUDT21,
NUDT8,
NUMA1,
NUP188,
NUP205,
NUP85,
NVL,
NXF5,
NXN,
NYX,
OBP2B,
OCIAD2,
OCLN,
ODF1,
OGN,
OMD,
OOEP,
OPTC,
OPTN,
OR10H4,
OR2B6,
OR4A15,
OR4K17,
OR51D1,
OR52B2,
OR5H1,
OR5V1,
OR8G1,
OSBPL8,
OSR2,
OSTBETA,
OSTC,
OTC,
OTOF,
OXCT2,
OXSM,
P2RY14,
P2RY6,
P2RY8,
