"goterm" "ontology"
"1058" "GO:0001176" "P"
"1059" "GO:0001177" "P"
"1061" "GO:0001178" "P"
"1062" "GO:0001179" "F"
"1063" "GO:0001181" "F"
"1064" "GO:0001182" "P"
"1065" "GO:0001183" "P"
"1066" "GO:0001184" "P"
"1067" "GO:0001186" "F"
"1069" "GO:0001188" "P"
"1070" "GO:0001192" "P"
"1071" "GO:0001193" "P"
"1072" "GO:0001194" "P"
"1073" "GO:0001195" "P"
"1074" "GO:0001196" "P"
"1076" "GO:0001197" "P"
"1078" "GO:0001198" "P"
"1080" "GO:0001207" "P"
"1081" "GO:0001208" "P"
"1082" "GO:0001216" "F"
"1083" "GO:0001217" "F"
"1084" "GO:0001221" "F"
"1085" "GO:0001222" "F"
"1086" "GO:0001223" "F"
"1087" "GO:0001224" "F"
"1088" "GO:0001225" "F"
"1090" "GO:0001226" "F"
"1092" "GO:0001227" "F"
"1094" "GO:0001228" "F"
"1096" "GO:0001300" "P"
"1097" "GO:0001301" "P"
"1098" "GO:0001302" "P"
"1099" "GO:0001303" "P"
"1100" "GO:0001304" "P"
"1101" "GO:0001305" "P"
"1102" "GO:0001306" "P"
"1103" "GO:0001307" "P"
"1105" "GO:0001308" "P"
"1107" "GO:0001310" "P"
"1108" "GO:0001311" "P"
"1110" "GO:0001312" "P"
"1111" "GO:0001313" "P"
"1112" "GO:0001314" "P"
"1113" "GO:0001315" "P"
"1115" "GO:0001316" "P"
"1117" "GO:0001317" "P"
"1118" "GO:0001318" "P"
"1119" "GO:0001319" "P"
"1120" "GO:0001320" "P"
"1122" "GO:0001321" "P"
"1123" "GO:0001322" "P"
"1124" "GO:0001323" "P"
"1125" "GO:0001324" "P"
"1127" "GO:0001325" "P"
"1129" "GO:0001326" "P"
"1130" "GO:0001400" "C"
"1131" "GO:0001401" "C"
"1132" "GO:0001402" "P"
"1133" "GO:0001403" "P"
"1134" "GO:0001405" "C"
"1136" "GO:0001406" "F"
"1138" "GO:0001407" "P"
"1141" "GO:0001408" "P"
"1142" "GO:0001409" "F"
"1143" "GO:0001410" "P"
"1145" "GO:0001411" "C"
"1147" "GO:0001501" "P"
"1148" "GO:0001502" "P"
"1149" "GO:0001503" "P"
"1150" "GO:0001504" "P"
"1153" "GO:0001505" "P"
"1154" "GO:0001507" "P"
"1155" "GO:0001508" "P"
"1156" "GO:0001510" "P"
"1158" "GO:0001512" "F"
"1159" "GO:0001514" "P"
"1160" "GO:0001515" "F"
"1161" "GO:0001516" "P"
"1163" "GO:0001517" "F"
"1164" "GO:0001518" "C"
"1166" "GO:0001519" "P"
"1167" "GO:0001520" "C"
"1170" "GO:0001522" "P"
"1171" "GO:0001523" "P"
"1172" "GO:0001525" "P"
"1173" "GO:0001527" "C"
"1175" "GO:0001530" "F"
"1177" "GO:0001531" "F"
"1178" "GO:0001532" "F"
"1179" "GO:0001533" "C"
"1180" "GO:0001534" "C"
"1182" "GO:0001535" "C"
"1184" "GO:0001536" "C"
"1186" "GO:0001537" "F"
"1187" "GO:0001539" "P"
"1188" "GO:0001540" "F"
"1189" "GO:0001541" "P"
"1190" "GO:0001542" "P"
"1192" "GO:0001543" "P"
"1193" "GO:0001544" "P"
"1194" "GO:0001545" "P"
"1196" "GO:0001546" "P"
"1198" "GO:0001547" "P"
"1201" "GO:0001548" "P"
"1202" "GO:0001549" "P"
"1206" "GO:0001550" "P"
"1208" "GO:0001551" "P"
"1209" "GO:0001552" "P"
"1210" "GO:0001553" "P"
"1211" "GO:0001554" "P"
"1212" "GO:0001555" "P"
"1215" "GO:0001556" "P"
"1219" "GO:0001558" "P"
"1221" "GO:0001559" "P"
"1223" "GO:0001560" "P"
"1224" "GO:0001561" "P"
"1226" "GO:0001562" "P"
"1227" "GO:0001563" "P"
"1229" "GO:0001565" "F"
"1230" "GO:0001566" "F"
"1231" "GO:0001567" "F"
"1233" "GO:0001568" "P"
"1234" "GO:0001569" "P"
"1235" "GO:0001570" "P"
"1236" "GO:0001571" "F"
"1237" "GO:0001572" "P"
"1240" "GO:0001573" "P"
"1242" "GO:0001574" "P"
"1245" "GO:0001575" "P"
"1246" "GO:0001576" "P"
"1248" "GO:0001578" "P"
"1249" "GO:0001579" "P"
"1250" "GO:0001580" "P"
"1251" "GO:0001581" "P"
"1252" "GO:0001582" "P"
