LDLEAF,LDM,LDVA,SDLEAF,SDM,SDVA
AT1G22370,AT1G16260,AT1G61770,AT1G07310,AT1G15950,AT1G15690
AT1G22660,AT1G16720,AT1G61790,AT1G07370,AT1G16120,AT1G15810
AT1G22690,AT1G16750,AT1G61810,AT1G07420,AT1G16180,AT1G15820
AT1G22700,AT1G17100,AT1G62430,AT1G07450,AT1G16260,AT1G15880
AT1G22730,AT1G17170,AT1G63090,AT1G07470,AT1G16300,AT1G15920
AT1G22910,AT1G17210,AT1G63690,AT1G07480,AT1G16320,AT1G15930
AT1G22930,AT1G17230,AT1G63940,AT1G07490,AT1G16330,AT1G15960
AT1G22960,AT1G17340,AT1G64170,AT1G07510,AT1G16350,AT1G16110
AT1G23080,AT1G17380,AT1G64390,AT1G07520,AT1G16540,AT1G16270
AT1G23090,AT1G17580,AT1G64500,AT1G07570,AT1G16570,AT1G16300
AT1G23310,AT1G17990,AT1G64530,AT1G07590,AT1G16710,AT1G16330
AT1G23360,AT1G18150,AT1G64750,AT1G07615,AT1G16720,AT1G16340
AT1G23400,AT1G18265,AT1G65040,AT1G07640,AT1G16920,AT1G16350
AT1G23490,AT1G18460,AT1G66130,AT1G07700,AT1G16980,AT1G16400
AT1G23730,AT1G18720,AT1G66173,AT1G07720,AT1G17120,AT1G16410
AT1G24040,AT1G18880,AT1G66830,AT1G07725,AT1G17160,AT1G16470
AT1G24180,AT1G19110,AT1G67130,AT1G07820,AT1G17210,AT1G16540
AT1G24190,AT1G19180,AT1G67490,AT1G07830,AT1G17290,AT1G16560
AT1G24280,AT1G19210,AT1G68560,AT1G07840,AT1G17470,AT1G16680
AT1G24510,AT1G19350,AT1G68710,AT1G07880,AT1G17580,AT1G16720
AT1G24610,AT1G19380,AT1G68840,AT1G07920,AT1G17630,AT1G16920
AT1G24625,AT1G19450,AT1G69252,AT1G07960,AT1G17680,AT1G17060
At1g24996,AT1G19490,AT1G69270,AT1G07970,AT1G18000,AT1G17100
AT1G25141,AT1G19540,AT1G69295,AT1G08090,AT1G18150,AT1G17210
AT1G25380,AT1G19570,AT1G69530,AT1G08130,AT1G18210,AT1G17230
AT1G25580,AT1G19660,AT1G69690,AT1G08135,AT1G18335,AT1G17290
AT1G25988,AT1G19720,AT1G69730,AT1G08200,AT1G18410,AT1G17420
AT1G26100,AT1G19740,AT1G69830,AT1G08210,AT1G18450,AT1G17470
AT1G26130,AT1G20020,AT1G70210,AT1G08230,AT1G18460,AT1G17480
AT1G26160,AT1G20090,AT1G70280,AT1G08250,AT1G18470,AT1G17530
AT1G26190,AT1G20190,AT1G70790,AT1G08315,AT1G18600,AT1G17760
AT1G26230,AT1G20260,AT1G71820,AT1G08360,AT1G18650,AT1G17860
AT1G26250,AT1G20330,AT1G71880,AT1G08390,AT1G18660,AT1G17940
AT1G26470,AT1G20500,AT1G72030,AT1G08460,AT1G18670,AT1G18130
AT1G26770,AT1G20510,AT1G72430,AT1G08465,AT1G18720,AT1G18150
AT1G27000,AT1G20520,AT1G72500,AT1G08490,AT1G18940,AT1G18210
AT1G27120,AT1G20575,AT1G72630,AT1G08510,AT1G19025,AT1G18450
AT1G27170,AT1G20620,AT1G72710,AT1G08540,AT1G19040,AT1G18460
AT1G27210,AT1G20670,AT1G73020,AT1G08550,AT1G19050,AT1G18470
AT1G27350,AT1G20823,AT1G73390,AT1G08570,AT1G19100,AT1G18690
AT1G27385,AT1G21270,AT1G73660,AT1G08590,AT1G19110,AT1G18720
AT1G27450,AT1G21450,AT1G73670,AT1G08650,AT1G19140,AT1G18740
AT1G27650,AT1G21550,AT1G73700,AT1G08660,AT1G19150,AT1G18870
AT1G27680,AT1G21640,AT1G73740,AT1G08680,AT1G19310,AT1G19170
AT1G27930,AT1G21650,AT1G73760,AT1G08700,AT1G19350,AT1G19180
AT1G27960,AT1G21670,AT1G74030,AT1G08845,AT1G19430,AT1G19210
AT1G27970,AT1G21690,AT1G74660,AT1G08880,AT1G19450,AT1G19270
AT1G28050,AT1G21700,AT1G74940,AT1G08890,AT1G19470,AT1G19300
AT1G28130,AT1G21750,AT1G75540,AT1G08910,AT1G19490,AT1G19310
AT1G28230,AT1G21760,AT1G75750,AT1G08920,AT1G19570,AT1G19490
AT1G28240,AT1G21900,AT1G76130,AT1G08930,AT1G19580,AT1G19520
AT1G28510,AT1G21910,AT1G76210,AT1G08980,AT1G19600,AT1G19570
AT1G28660,AT1G21980,AT1G76490,AT1G09010,AT1G19650,AT1G19600
AT1G29150,AT1G22070,AT1G76620,AT1G09020,AT1G19680,AT1G19610
AT1G29160,AT1G22130,AT1G76880,AT1G09140,AT1G19700,AT1G19640
AT1G29240,AT1G22190,AT1G76990,AT1G09150,AT1G19720,AT1G19650
AT1G29330,AT1G22200,AT1G77260,AT1G09180,AT1G19970,AT1G19680
AT1G29390,AT1G22400,AT1G77450,AT1G09195,AT1G20010,AT1G19710
AT1G29395,AT1G22810,AT1G77510,AT1G09200,AT1G20020,AT1G19720
AT1G29570,AT1G22930,AT1G78090,AT1G09210,AT1G20030,AT1G19770
AT1G29850,AT1G23030,AT1G78380,AT1G09280,AT1G20060,AT1G19780
AT1G29910,AT1G23080,AT1G78480,AT1G09300,AT1G20260,AT1G19860
AT1G29930,AT1G23190,AT1G78580,AT1G09310,AT1G20620,AT1G19870
AT1G29970,AT1G23310,AT1G78680,AT1G09320,AT1G20630,AT1G19970
AT1G30170,AT1G23360,AT1G78830,AT1G09340,AT1G20823,AT1G20010
