SAMPLE2,SAMPLE6
YDR498C,YDR450W
YJR096W,YNL330C
YOR335C,YJR030C
YGL059W,YNL064C
YNL087W,YPL002C
YHR015W,YHR195W
YJL177W,YGL003C
YDR502C,YIL131C
YGL037C,YKL044W
YDR359C,YMR002W
YLR073C,YBL106C
YLR227W-B,YIR042C
YAR018C,YOR118W
YJR076C,YMR281W
YJR057W,YBR160W
YOR112W,YMR174C
YKL045W,YKR002W
YBR121C-A,YOR151C
YBR258C,YPL120W
YHR162W,YOL123W
YPR074C,YCR012W
YFR020W,YNL220W
YLR262C-A,YGR263C
YGR014W,YER050C
YGR217W,YGR059W
YPL003W,YLR067C
YLR017W,YIL137C
YML089C,YBL075C
YLR297W,YGL246C
YNL165W,YGL143C
YDL169C,YNL239W
YMR319C,YOL056W
YMR119W-A,YCR045W-A
YDL127W,YIL022W
YDL136W,YMR073C
YOR152C,YDR224C
YBR068C,YDL010W
YFR028C,YCR003W
YHR126C,YGL122C
YHR008C,YMR128W
YOL001W,YLR268W
YML111W,YIR020W-A
YMR016C,YMR169C
YKL023W,YIL068C
YBL017C,YLR387C
YBR133C,YKL092C
YGR229C,YNL095C
YOR092W,YBR007C
YJL127C,YAL015C
YNR010W,YPL124W
YDR047W,YOR196C
YJR119C,YEL040W
YPL001W,YLR312W-A
YOR381W,YJL106W
YBR159W,YKL189W
YDR249C,YNL306W
YGR158C,YIL123W
YOR350C,YLR352W
YOR210W,YKL018C-A
YKL174C,YDL192W
YLR058C,YPR157W
YLR403W,YGR152C
YLR028C,YDL124W
YLR286C,YDR268W
YDL044C,YOL064C
YBR274W,YHR132W-A
YER081W,YOL110W
YMR179W,YLR153C
YNL305C,YOL128C
YDR148C,YJL016W
YJL059W,YOR085W
YIL130W,YJL190C
YFR052C-A,YOR188W
YGL108C,YJL164C
YBL066C,YMR323W
YBL051C,YLR024C
YGL023C,YDL159W
YDR042C,YLR347C
YJR068W,YOL020W
YDL168W,YLL057C
YBR020W,YBL057C
YDL049C,YER064C
YAL019W,YBL087C
YDR484W,YMR035W
YEL037C,YPL245W
YDL114W,YMR088C
YCL027W,YIL083C
YBR273C,YDL064W
YIL062C,YMR253C
YML091C,YHL040C
YCL021W-A,YLR023C
YAL017W,YBL098W
YOR372C,YJL196C
YGL098W,YHR105W
YDL209C,YHR114W
YMR199W,YGR257C
YNL329C,YBR036C
YCR093W,YPL092W
YMR300C,YLR446W
YLR008C,YPL227C
YIL057C,YMR286W
YIL107C,YDL036C
YGL136C,YBR213W
YBL107W-A,YHR037W
YHR024C,YOL159C-A
YLR120C,YLR107W
YGR211W,YHR045W
YML007W,YNL090W
YPL039W,YPL072W
YHR120W,YPL252C
YLR237W,YEL042W
YBL007C,YLR219W
YFL034C-A,YHL032C
YMR194W,YPL196W
YGR068C,YBR161W
YPL017C,YBR114W
YGR163W,YBR162W-A
YML004C,YJR080C
YMR202W,YIL055C
YGR292W,YFL036W
YOR140W,YER158C
YHR172W,YKL109W
YEL029C,YBR280C
YDR058C,YMR270C
YGR245C,YEL060C
YKR066C,YDL240W
YNL040W,YDL226C
YIL003W,YHR071W
YGL161C,YJL035C
YPR144C,YAL030W
YOR359W,YLR131C
YFL055W,YLR285C-A
YGR181W,YDL130W-A
YPL029W,YDR147W
YER007C-A,YMR157C
YLR116W,YER111C
YDR197W,YAL061W
YJR144W,YGR215W
YPL172C,YNL037C
YPL224C,YNR050C
YMR083W,YGL179C
YGR086C,YOR264W
YMR156C,YIL070C
YHR205W,YPL207W
YGR281W,YLR357W
YCR048W,YGL203C
YKL182W,YMR307W
YDL065C,YOL152W
YMR126C,YJR131W
YDR175C,YDR310C
YDR428C,YKL023C-A
YOR182C,YNR032W
YGR194C,YOR245C
YGR078C,YLR004C
YHR163W,YJL057C
YMR265C,YGL111W
YIL162W,YGL039W
YOR222W,YLR394W
YBL103C,YOL069W
YIL052C,YML099C
YKL108W,YNL231C
YMR059W,YGL220W
YDR302W,YER093C-A
YOL017W,YOR187W
YLR382C,YNL160W
YBR242W,YJL054W
YBL021C,YDR330W
YNL246W,YKL208W
YER012W,YDL084W
YOL030W,YGL077C
YLR301W,YAR019C
YDR082W,YLR182W
YKL068W-A,YJR137C
YDL221W,YDL182W
YPR139C,YLR231C
YGL141W,YMR170C
YOR343W-B,YOR099W
YDR458C,YBR028C
YJR072C,YAR029W
YLR114C,YDR248C
YPR071W,YNL111C
YDR267C,YDR415C
YJL019W,YFL059W
YLR248W,YCR071C
YIL020C,YHR038W
YNL063W,YKR050W
YOR391C,YCR090C
YFR044C,YIL141W
YFL023W,YDR077W
YFL032W,YPL103C
YDR245W,YJR155W
YDR212W,YLR167W
YMR185W,YPL128C
YOR103C,YJR075W
YJL091C,YGR147C
YDR065W,YPL132W
YKL126W,YGR182C
YOR254C,YDL204W
YHR174W,YKL050C
YLR441C,YOL081W
YDR182W-A,YMR048W
YFR012W,YOL011W
YLR283W,YGR205W
YGL174W,YBL090W
YGR145W,YPL139C
YDR061W,YBR203W
YGR199W,YGR109C
YBL005W,YER175C
YLR466C-B,YDR070C
YNL018C,YER067W
YIL108W,YOR003W
YDR404C,YOR232W
YML122C,YDR461W
YBR131W,YOR317W
YOR058C,YKL010C
YBL104C,YJL076W
YBR095C,YML025C
YIL004C,YNL316C
YBR084W,YGR161C
YCR095W-A,YMR068W
YMR173W,YKL168C
YKL203C,YDR476C
YKL221W,YGL165C
YHR085W,YJL123C
YOR301W,YJL137C
YDL210W,YBL086C
YDR168W,YFR026C
YKR052C,YML087C
YNL308C,YLR090W
YOL089C,YOR230W
YOR171C,YBR169C
YIL050W,YBR126W-B
YLR043C,YNR043W
YOR031W,YLR083C
YBL099W,YGR082W
YLR359W,YDR037W
YOR237W,YLR060W
YPL217C,YNL025C
YNR009W,YDR483W
YGL194C,YPL067C
YLR038C,YDL214C
YOR106W,YLR326W
YMR030W-A,YBL082C
YJR056C,YGL092W
YMR236W,YGL159W
YLR287C-A,YDL017W
YPR130C,YDR391C
YER039C,YBR015C
YDR044W,YIL151C
YDR387C,YLR016C
YOL130W,YLR127C
YER178W,YPL155C
YDR514C,YFR024C-A
YIR019C,YDR210C-C
YDR333C,YCR034W
YMR210W,YLR414C
YDR124W,YBL032W
YKR061W,YMR240C
YOR338W,YMR049C
YML116W-A,YMR045C
YDR115W,YNR017W
YOR334W,YOR246C
YGR256W,YLR095C
YPR021C,YCR100C
YKR097W,YKL033W-A
YOL038C-A,YMR122W-A
YMR107W,YGR260W
YDR451C,YJR146W
YJL192C,YLR390W
YBR039W,YBR233W-A
YHR177W,YIL074C
YIR027C,YDL145C
YAL042W,YPR088C
YPR036W,YKL046C
YOR030W,YER107C
YHR181W,YKL024C
YPL267W,YMR012W
YOL051W,YIR034C
YMR243C,YEL030W
YAL067W-A,YMR291W
YNR034W-A,YML011C
YNL045W,YPL048W
YNL057W,YAR008W
YPR141C,YMR001C
YJR061W,YGL227W
YIL104C,YDR506C
YLL035W,YLR001C
YNL282W,YAL003W
YBR243C,YBR187W
YDR520C,YKL159C
YGL137W,YNL260C
YMR234W,YAL054C
YMR112C,YMR119W
YGL212W,YDL020C
YHR005C-A,YJR103W
YJL134W,YML036W
YLR454W,YGR279C
YOR105W,YOR231W
YDR080W,YMR062C
YNR023W,YIL064W
YPL253C,YDR165W
YLR261C,YNL142W
YBR096W,YDL101C
YJR042W,YDR322W
YGR150C,YGR076C
YDR089W,YDL141W
YGR074W,YDR328C
YLR390W-A,YGR021W
YGL180W,YPL083C
YHR043C,YBL059C-A
