"CycID","ARS_pvalue","ARS_BH.Q","ARS_period","ARS_adjphase","ARS_amplitude","JTK_pvalue","JTK_BH.Q","JTK_period","JTK_adjphase","JTK_amplitude","LS_pvalue","LS_BH.Q","LS_period","LS_adjphase","LS_amplitude","meta2d_pvalue","meta2d_BH.Q","meta2d_period","meta2d_phase","meta2d_Base","meta2d_AMP","meta2d_rAMP","7171","7184","7197","7210","7223","7236","7249","7262","7275","7288","7301","7314","7327","7340","7353","7366","7379","7392","7405","7418"
"YKL135C","0.0924293646043494","0.115280216600379","120","67.9169167705815","5.48263503853415","0.174771616412746","0.231381445893482","65","21","5.89567956483813","0.156482030548338","0.217020265469451","61.5584415584416","59.7823797156425","70.8775324240345","0.0628490499888718","0.0817183103158484","82.1861471861472","31.9855956431385","64.6912570731022","0.0737322119236886","0.00113975543620013","75.946","61.918","55.366","55.953","69.83","71.565","70.343","56.479","78.637","70.021","73.696","52.053","53.561","58.019","68.198","68.282","59.567","62.538","67.068","64.836"
"YMR223W","0.0010283472813144","0.00241183536945844","120","64.5776897224193","4.71527485222708","9.83529906371498e-06","4.74860532919989e-05","143","112","5.23753992824876","0.0109843659014838","0.0465681299324365","132.897196261682","85.7328574134608","21.4081112739895","3.1840176828446e-08","1.15004262302628e-07","131.965732087227","86.343747627898","16.7037943529885","3.68753072127357","0.22076006465045","12.69","8.838","12.676","13.876","15.845","16.921","16.741","26.423","24.132","20.18","15.315","9.037","11.823","14.372","16.334","15.303","20.267","23.04","21.494","17.951"
"YKL120W","0.00167211376667531","0.0034758368913735","120","67.8857945533486","74.0527659746665","2.8995000038254e-05","0.000110406099960819","130","118.5","65.6449651382343","0.0392516907958702","0.0764804170859442","125.840707964602","91.5171225161557","122.76387280343","4.2376700415403e-07","1.12301890466205e-06","125.280235988201","91.7970486074871","88.768857574983","6.76540703808339","0.076213744582312","51.714","16.236","23.314","39.956","37.235","40.501","91.681","208.441","118.103","121.999","70.217","19.158","18.745","31.934","40.114","57.888","324.334","198.1","152.118","118.538"
"YDL040C","4.00181351301043e-06","9.43939217954369e-05","120","80.1943676907343","22.3997195277738","9.83529906371498e-06","4.74860532919989e-05","143","125","18.9278343188015","0.00382332924254136","0.0462976872777139","130.45871559633","106.27522989641","87.0886850454932","7.01828595239817e-11","1.34466136883582e-09","131.152905198777","103.33557707827","70.2667081379201","5.33168100694353","0.0758777684088809","88.023","62.085","44.214","45.287","62.532","62.77","65.187","79.022","98.196","101.003","89.419","59.44","49.05","47.081","50.544","57.28","73.015","92.512","88.132","91.007"
"YMR142C","0.00126012354300564","0.00280531826216673","120","70.0359364999821","122.605525975528","7.91814480816621e-05","0.000252628471422133","130","118.5","134.741672028831","0.0178650356117621","0.0502988246381275","132.897196261682","88.4572377539907","322.775212944959","3.99397423800352e-07","1.06528963275191e-06","127.632398753894","90.262029431866","233.419595077232","8.80118349656731","0.0377054184060908","121.554","77.539","98.863","172.942","168.816","149.761","185.11","497.736","371.225","323.128","219.5","109.198","83.986","152.32","194.701","186.535","340.833","530.592","361.678","319.312"
"YKL089W","1.790911654731e-05","0.000197639893325671","120","81.4416822836304","8.5129852511771","0.000735781257028146","0.00170880427224124","130","125","9.78600429823122","0.0061941088547588","0.0462976872777139","130.45871559633","109.45664151198","24.9762250504965","2.39982482774792e-08","9.13233832234122e-08","126.819571865443","105.066131973503","18.2301838454001","8.60571421556893","0.472058553470944","26.207","12.281","10.02","10.023","11.927","12.917","14.554","23.419","29.094","30.165","28.244","11.833","10.042","12.267","13.627","12.433","19.184","25.038","24.444","28.449"
"YLR239C","2.2366611927449e-05","0.000224028625140413","120","98.7774494141525","35.340422865866","0.0135056677210722","0.0227549145355033","130","21","41.0252747842717","0.0108581836641559","0.0463919916815409","130.45871559633","118.67088654888","102.687670690285","6.93233288551198e-07","1.74793215962726e-06","126.819571865443","120.529239303445","79.4634739372284","31.608717259289","0.397776685225945","118.264","101.876","59.414","56.16","59.123","53.361","60.298","44.568","86.971","121.048","123.676","123.06","75.359","53.274","53.578","63.761","48.899","54.105","114.961","131.763"
"YPL019C","0.000844268928889669","0.00209037739604894","120","80.4321059802984","4.52607831806409","0.0456546717455121","0.0687657497897307","117","27.5","4.5785164081829","0.0484207627979854","0.0873184458977385","128.108108108108","101.388847286012","34.2137867407507","0.000188875774730146","0.000326778356056076","121.702702702703","88.3513319105812","31.1593011901868","4.29295605508698","0.137774465123082","35.011","30.445","29.888","23.722","32.165","30.862","28.595","33.872","36.27","35.85","37.712","26.145","25.405","26.332","27.95","29.375","27.275","38.564","34.398","34.661"
"YHR050W","0.00191437585161192","0.00385998132559924","120","92.324061802086","11.8573743294856","0.284464116097613","0.356951926392537","143","138","14.288153174046","0.0520432938302174","0.0916762077908192","135.428571428571","111.882121010607","88.2328534033168","0.00187886006959326","0.00291230379485486","132.809523809524","113.10525909463","78.2481261186416","12.9726927487228","0.16578918106043","91.862","71.631","62.157","72.772","71.228","68.406","73.431","61.373","92.668","99.033","93.24","92.71","65.401","66.479","71.526","73.522","66.466","83.047","86.294","96.622"
"YLR102C","9.09097306003304e-05","0.000482665064527527","120","16.7635751187388","9.50194642698737","0.00695580539553403","0.0125326173015744","143","47","8.18334677867191","0.0159243072335312","0.0483356975345117","128.108108108108","27.4705518015426","49.9286089138288","1.90264220689684e-06","4.38416436935962e-06","130.369369369369","29.5619472871186","44.1368680142945","9.44725477819458","0.214044521127664","46.09","53.147","54.767","49.096","55.573","56.447","48.688","25.191","37.9","36.324","39.357","48.251","54.766","51.443","47.872","46.594","37.669","27.313","30.345","35.987"
"YPL085W","0.000301788280511861","0.00103498977445244","120","67.5384016810267","5.34965023288661","0.000315266315276497","0.000825920232475097","130","125","5.95560686454369","0.00766263503428777","0.0462976872777139","132.897196261682","86.3742769644514","34.1676617306089","1.77425469427561e-07","5.1237822479548e-07","127.632398753894","88.3984927390925","29.5277426022288","0.443749814097873","0.0150282336200119","29.863","19.965","22.764","26.657","28.951","29.612","31.656","34.694","35.173","34.901","32.598","21.067","21.968","24.138","28.878","29.427","35.251","35.018","35.066","32.749"
