CycID,JTK_pvalue,JTK_BH.Q,JTK_period,JTK_adjphase,JTK_amplitude,LS_pvalue,LS_BH.Q,LS_period,LS_adjphase,LS_amplitude,meta2d_pvalue,meta2d_BH.Q,meta2d_period,meta2d_phase,meta2d_Base,meta2d_AMP,meta2d_rAMP,X4,X4.1,X8,X8.1,X12,X12.1,X16,X16.1,X20,X20.1,X24,X24.1,X28,X28.1,X32,X32.1,X36,X36.1,X40,X40.1
Synpcc7942_0454,1,1,24,2,6.111174638,0.999999999,1,20,19.99991803,87.3349914,1,1,22,0.916621585,80.95987592,2.371341771,0.029290334,68.51872152,96.51975074,58.80350217,80.13415055,67.38651479,86.28124088,67.63514261,88.95164267,55.41847005,109.3872074,83.06678365,85.75420262,57.08714666,94.75130308,62.84625902,107.7406555,65.43286922,105.8636338,71.23553506,101.8016901
Synpcc7942_0453,1,1,28,18,20.34216441,0.999997863,1,20,19.2853268,256.7525146,1,1,24,19.28548179,250.3422249,11.76114327,0.046980262,222.6564637,321.561818,191.1796146,244.1209514,246.5193994,279.5549197,251.4246285,266.7740104,227.1698854,253.3264519,256.0692741,280.678093,210.5415733,227.8261838,201.26519,263.2965892,196.726464,325.6354865,204.9430441,304.6949461
Synpcc7942_0452,0.000173248,0.002451068,24,2,677.4104898,0.012182827,0.287325741,23.18658281,1.138431786,6502.145083,2.97E-05,0.000539689,23.5932914,1.562254139,5999.940968,752.391976,0.125399896,6283.69395,7285.253641,5785.994933,5886.888411,5017.088785,5162.929028,5624.433012,5462.793144,6603.884461,5956.670425,6583.739586,6245.820627,6526.728091,6748.560017,6111.922127,5403.969481,5470.980137,5110.703758,5694.008545,5416.582556
Synpcc7942_0451,1,1,28,12,14.76329202,1,1,26.27078385,12.11899994,312.1887664,1,1,27.13539192,12.07365339,307.9367483,6.743161754,0.021897879,238.988249,353.9470767,331.9191324,330.6259448,289.8460112,304.4783633,293.492975,345.1848277,268.2508907,317.69662,295.1555736,349.5346642,279.075206,274.6582432,330.2038511,334.4383629,266.8544555,338.3645083,291.1425443,344.8903599
Synpcc7942_0450,0.030852159,0.104519558,24,0,380.0926354,0.22917328,0.76905858,24.41501104,23.68360534,2514.637168,0.042082325,0.144930827,24.20750552,23.84491082,2174.447521,403.5227441,0.185574837,2529.505439,2000.218656,2333.120533,1744.549213,1997.31396,1524.283844,2225.500612,1803.262629,2989.95301,2159.984408,3067.441588,2193.575263,2452.643992,1965.462897,2256.027066,1684.918204,1907.054812,1698.636149,1865.068054,1808.949367
Synpcc7942_0449,0.005842913,0.028360337,28,20,48.50447388,0.106852313,0.517143331,24.20131291,19.7810156,623.6805559,0.005231147,0.026155733,26.10065646,19.98838789,578.3214358,68.58159612,0.118587332,594.5000575,460.1210973,490.108596,502.9563399,566.6250733,587.1607788,622.032015,625.7637272,579.2399863,625.0506825,546.6538197,683.3996792,578.1866839,541.1683169,445.0483164,471.5034808,504.1607817,591.6888946,599.7164512,690.5653586
Synpcc7942_0448,0.233711771,0.486573839,24,12,54.28336076,0.749501489,1,22.16432866,13.41558569,1665.325022,0.480311183,0.99333459,23.08216433,12.7561069,1596.847853,109.5253518,0.06858847,1539.552339,1224.76023,1609.006988,1748.128738,1709.480943,1791.069351,1555.141562,1496.864082,1687.430225,1600.514368,1758.726705,1474.680465,1541.465675,1375.008816,1566.879444,1748.801732,1749.932089,1876.288938,1646.855006,1491.486199
Synpcc7942_0447,0.101156161,0.253910122,24,18,9.275637216,0.616957491,1,23.08977035,15.06598177,227.3711,0.235534566,0.570422778,23.54488518,16.51080312,225.5156599,22.1546058,0.098239767,191.5184087,146.8656038,196.8969724,231.3486609,244.3902433,270.3536781,192.0033567,193.9847024,197.419146,251.4412385,244.2098935,218.5283687,187.0701781,183.4969036,176.7909763,239.1418787,266.043142,354.947688,244.4569698,271.9347258
Synpcc7942_0446,0.050611446,0.153498781,24,0,562.7351188,0.050593434,0.370058183,22.25352113,20.77426853,5830.764776,0.017841056,0.07223452,23.12676056,22.35811096,5498.065847,533.3527341,0.097007338,6134.484666,5941.362628,5000.487316,4892.62242,4987.196336,5086.344674,5541.390522,5628.512752,6007.639892,5690.621479,5942.352752,5836.994368,4904.253204,6010.816479,4717.980059,5025.120383,4957.367539,5419.802865,5358.469009,5335.497426
Synpcc7942_0445,0.125826047,0.302128117,24,16,21.807014,0.698909709,1,20.14571949,16.28938483,198.5177987,0.301733522,0.687389269,22.07285974,16.2814339,185.0001702,12.00655875,0.064900258,167.4378854,162.1577514,172.8730027,137.1099855,213.4771347,201.7927282,206.2007111,205.3100664,164.9253726,193.9439209,195.7085457,183.0361358,191.4863232,169.4552246,201.592305,183.5361951,202.1567645,164.3707761,189.7245881,195.1208022
