ORF	Protein_abundance
YLR274W	1.03E+04
YGR083C	1.03E+04
YPL204W	1.03E+04
YDR152W	1.03E+04
YDR194C	1.03E+04
YGR130C	1.03E+04
YDR168W	1.02E+04
YPL084W	1.02E+04
YHR018C	1.02E+04
YMR291W	1.02E+04
YDR529C	1.01E+04
YIL021W	1.00E+04
YOL010W	1.00E+04
YBR221C	9.97E+03
YLR089C	9.96E+03
YHR005C	9.92E+03
YLR270W	9.92E+03
YFR052W	9.89E+03
YKL127W	9.82E+03
YDR221W	9.76E+03
YGL016W	9.76E+03
YGR162W	9.76E+03
YGR132C	9.69E+03
YGL122C	9.67E+03
YLL001W	9.62E+03
YLR129W	9.62E+03
YLR380W	9.60E+03
YMR315W	9.60E+03
YJL069C	9.57E+03
YDL226C	9.56E+03
YLL041C	9.54E+03
YOR260W	9.53E+03
YBL033C	9.52E+03
YOR052C	9.52E+03
YGL038C	9.49E+03
YML074C	9.49E+03
YJL061W	9.47E+03
YOR007C	9.42E+03
YGL187C	9.41E+03
YKR014C	9.38E+03
YMR228W	9.38E+03
YGR119C	9.31E+03
YOR271C	9.29E+03
YJR076C	9.28E+03
YOR262W	9.23E+03
YDR047W	9.22E+03
YLR287C	9.10E+03
YKL013C	9.02E+03
YBR002C	8.97E+03
YCR054C	8.97E+03
YDL122W	8.97E+03
YDL213C	8.97E+03
YDR035W	8.97E+03
YDR092W	8.97E+03
YFL031W	8.97E+03
YIR004W	8.97E+03
YJL178C	8.97E+03
YKR026C	8.97E+03
YLR044C	8.97E+03
YMR043W	8.97E+03
YMR115W	8.97E+03
YNL258C	8.97E+03
YOL059W	8.97E+03
YDR177W	8.94E+03
YCL057W	8.91E+03
YER049W	8.91E+03
YPL122C	8.90E+03
YGR116W	8.89E+03
YMR229C	8.86E+03
YLR410W	8.81E+03
YPR019W	8.80E+03
YBR135W	8.78E+03
YBR222C	8.77E+03
YDR108W	8.76E+03
YNL138W	8.76E+03
YOR089C	8.76E+03
YAL060W	8.73E+03
YJL012C-A	8.71E+03
YPR025C	8.70E+03
YDR071C	8.68E+03
YEL042W	8.68E+03
YNL113W	8.68E+03
YBR068C	8.66E+03
YEL048C	8.66E+03
YER126C	8.66E+03
YGL228W	8.64E+03
YGL125W	8.60E+03
YGL190C	8.60E+03
YLR264W	8.60E+03
YDL116W	8.58E+03
YLR043C	8.58E+03
YMR099C	8.58E+03
YOR181W	8.58E+03
YKR008W	8.57E+03
YFR028C	8.55E+03
YGL203C	8.55E+03
YNL118C	8.53E+03
YNL281W	8.53E+03
YPR103W	8.53E+03
YEL051W	8.50E+03
YGR037C	8.50E+03
YDL205C	8.48E+03
YBL016W	8.48E+03
YDR041W	8.48E+03
YEL027W	8.45E+03
YER067W	8.45E+03
YJR063W	8.45E+03
YMR149W	8.45E+03
