"Ensembl_TransID","Probe"
"ENSMUST00000012847",10576784
"ENSMUST00000012873",10410351
"ENSMUST00000013130",10400191
"ENSMUST00000013227",10552000
"ENSMUST00000013235",10549708
"ENSMUST00000013262",10386402
"ENSMUST00000013294",10581336
"ENSMUST00000013299",10581327
"ENSMUST00000013302",10574872
"ENSMUST00000013304",10581289
"ENSMUST00000013338",10596951
"ENSMUST00000013455",10496447
"ENSMUST00000013458",10496466
"ENSMUST00000013497",10562696
"ENSMUST00000013559",10390209
"ENSMUST00000013633",10524052
"ENSMUST00000013693",10530434
"ENSMUST00000013755",10428176
"ENSMUST00000013759",10473690
"ENSMUST00000013771",10520706
"ENSMUST00000013773",10520650
"ENSMUST00000013797",10376376
"ENSMUST00000013807",10462521
"ENSMUST00000013842",10360227
"ENSMUST00000013845",10360225
"ENSMUST00000013851",10500100
"ENSMUST00000013886",10559524
"ENSMUST00000013910",10444680
"ENSMUST00000013931",10444524
"ENSMUST00000013970",10373101
"ENSMUST00000013995",10495712
"ENSMUST00000014022",10571093
"ENSMUST00000014058",10552488
"ENSMUST00000014065",10551852
"ENSMUST00000014118",10569877
"ENSMUST00000014174",10512669
"ENSMUST00000014321",10376929
"ENSMUST00000014339",10391178
"ENSMUST00000014370",10359334
"ENSMUST00000014389",10376854
"ENSMUST00000014421",10531215
"ENSMUST00000014438",10458386
"ENSMUST00000014445",10362892
"ENSMUST00000014447",10433264
"ENSMUST00000014476",10548504
"ENSMUST00000014499",10344126
"ENSMUST00000014505",10475890
"ENSMUST00000014545",10553309
"ENSMUST00000014546",10563643
"ENSMUST00000014562",10563615
"ENSMUST00000014578",10441753
"ENSMUST00000014597",10420758
"ENSMUST00000014614",10582330
"ENSMUST00000014640",10418766
"ENSMUST00000014642",10367305
"ENSMUST00000014647",10454683
"ENSMUST00000014673",10519380
"ENSMUST00000014686",10545731
"ENSMUST00000014687",10548437
"ENSMUST00000014691",10415818
"ENSMUST00000014694",10546402
"ENSMUST00000014743",10501164
"ENSMUST00000014747",10495218
"ENSMUST00000014750",10387922
"ENSMUST00000014753",10387909
